scan_timestamp,scan_date,ticker,regime,regime_strength,score,grade,status,entry_price,stop_price,t1,t2,measured_move,rr_t1,rr_t2,risk_per_share,risk_pct,quantity,capital_deployed,max_loss_inr,atr_pct,relative_strength,range_pct,volume_ratio,trend_score,breakout_level,extension_pct,current_close
2026-05-27 12:15:25,2026-05-27,GRASIM.NS,BULL,0.817,,,READY,3205.49,3097.72,3421.03,3528.8,3374.0,2.0,3.0,107.77,3.36,16,51287.84,1724.32,2.27,14.42,5.58,1.42,3,3197.5,-0.92,3168.0
2026-05-27 12:15:25,2026-05-27,HAL.NS,BULL,0.817,,,WATCH,4848.39,4656.73,5231.71,5423.37,4965.9,2.0,3.0,191.66,3.95,9,43635.51,1724.94,2.88,3.19,2.94,0.61,2,4836.3,-8.37,4431.5
2026-05-27 12:15:25,2026-05-27,CUMMINSIND.NS,BULL,0.817,,,READY,5570.89,5374.07,5964.53,6161.35,5778.5,2.0,3.0,196.82,3.53,8,44567.12,1574.56,2.37,6.2,4.09,0.77,3,5557.0,-0.35,5537.5
2026-05-27 12:15:25,2026-05-27,PIDILITIND.NS,BULL,0.817,,,WATCH,1518.79,1467.64,1621.09,1672.24,1564.4,2.0,3.0,51.15,3.37,73,110871.67,3733.95,2.3,8.64,3.34,0.4,3,1515.0,-2.3,1480.1
2026-05-27 12:15:25,2026-05-27,BERGEPAINT.NS,BULL,0.817,,,WATCH,541.7,508.56,607.98,641.12,573.1,2.0,3.0,33.14,6.12,113,61212.1,3744.82,4.2,12.3,6.43,0.29,3,540.35,-2.6,526.3
2026-05-27 12:15:25,2026-05-27,DIVISLAB.NS,BULL,0.817,,,WATCH,6985.42,6749.06,7458.14,7694.5,7267.5,2.0,3.0,236.36,3.38,7,48897.94,1654.52,2.3,5.8,4.39,0.99,3,6968.0,-1.78,6844.0
2026-05-27 12:15:25,2026-05-27,DLF.NS,BULL,0.817,,,WATCH,621.55,596.49,671.67,696.73,637.8,2.0,3.0,25.06,4.03,149,92610.95,3733.94,2.8,2.53,3.01,0.67,3,620.0,-3.93,595.65
2026-05-27 12:15:25,2026-05-27,LODHA.NS,BULL,0.817,,,WATCH,977.34,930.6,1070.82,1117.56,1034.9,2.0,3.0,46.74,4.78,37,36161.58,1729.38,3.38,3.65,6.66,0.74,3,974.9,-5.5,921.25
2026-05-27 12:15:25,2026-05-27,KEI.NS,BULL,0.817,,,READY,5467.63,5234.66,5933.57,6166.54,5761.8,2.0,3.0,232.97,4.26,16,87482.08,3727.52,2.87,12.49,5.81,0.66,3,5454.0,-0.75,5413.1
2026-05-27 12:15:25,2026-05-27,SRF.NS,BULL,0.817,,,WATCH,2839.18,2742.66,3032.22,3128.74,3008.4,2.0,3.0,96.52,3.4,18,51105.24,1737.36,2.35,9.72,6.55,0.67,3,2832.1,-3.36,2736.9
